as,bs,ag,bg,N0r,N0s,N0g,rhos,rhog,qc0,qi0
286.08462106584346,0.5049778789457159,522.581923446022,0.3082397527095199,4.3584586573174,0.5033478215466672,0.0981704923036078,0.9555894299285264,0.6964282644944872,0.001024517440446,0.0009650967662262
423.7288021655517,0.1716018141582048,454.1185380758657,0.2309081300840762,4.916675764117794,2.2075390513273416,1.2604554968733306,0.4309112790625545,0.478726889858325,0.0014696660121574,0.0002492727478678
641.6409547839434,0.2282039342788859,281.352724842702,0.164974183558953,4.769687859305173,0.1865587606233175,1.5188643844658158,0.7368477489688082,0.9717752333965808,0.0016609819690831,0.0005284959653044
364.9028930664842,0.418583976031719,140.8848464465531,0.5447315043403089,0.8706825913042069,0.7733326860501835,2.109490788638666,0.3944339089429886,0.3737732786465381,0.0014497633140114,3.364433602569122e-05
498.7684727421054,0.7584189603449932,939.198140403238,0.2929958337364151,1.56567537527662,0.3847916139514808,1.509552513330735,0.2044404231556255,0.8122108536259193,0.0010502406391519,6.137533661492936e-05
422.2724871771194,0.6577979518051211,266.4206197856994,0.442310780096851,0.4904591078222913,1.844944565903432,1.0135834207085967,0.3769295741939612,0.4270404988951102,0.0001330068492463,0.0004694282665957
898.5879913361954,0.245407970720939,1021.1283823919129,0.3200546374934507,3.8552260275405934,2.0933064228876206,2.2581759783616806,0.9732336738641364,0.457584357460977,0.0014035601817549,0.000327624923273
807.6147347614033,0.4910755357596787,636.7235530422113,0.7106629098466226,0.9108998071005489,1.1584915686392492,2.250568847885189,0.7048189647754419,0.3216715035688751,0.0008996406303882,0.0005687849057631
969.2500063129188,0.604639442265739,1168.7938430128495,0.2367925740170207,1.2177315609527233,1.437420274424199,1.6506216076627769,0.9656777008914468,0.8912018659090647,0.0007996291086629,0.0003431451835364
858.1379594452404,0.4498244535590845,816.3688583846221,0.4548483897874552,3.064253923175037,1.9718322432614583,2.4215411941505107,0.4046046321851104,0.6890880840554784,0.0016345920492574,0.0006980652260579
815.8235771953094,0.3403211606575678,416.27639426275977,0.2279717178197186,4.089568846942992,2.1882968986900027,2.073512359532979,0.7674527937450454,0.5412626917223011,0.001150123113957,0.0005590171755744
994.0326098413756,0.9878826196161156,636.7084970325404,0.7045371092475854,4.686146394668945,1.7698022172674746,1.1090719057472105,0.1659435146732155,0.6487724331732235,0.0015580202159961,0.0002648682007161
